schema_changed,missing_cols_count,null_rate,duplicate_rate,contract_violation_count,upstream_failed,cpu_usage,memory_mb,runtime_ratio,error_rate,throughput_change,latency_change,root_cause
0,0,0.0025,0.0,0,0,52.45,206.34,1.02,0.0,-0.0395,0.0157,unknown
0,0,0.0,0.0038,0,1,34.12,323.26,0.17,1.0,-0.0883,-0.0138,dependency_failure
0,0,0.0018,0.0001,0,1,28.17,258.58,0.24,1.0,0.0947,-0.0719,dependency_failure
0,0,0.0024,0.0,0,0,65.41,243.2,0.88,1.0,-0.0874,-0.0154,unknown
1,2,0.0021,0.0028,2,0,43.03,332.27,1.06,1.0,0.1117,-0.0388,schema_change
0,0,0.1947,0.0292,6,0,49.09,218.31,1.03,0.64,0.0657,-0.0221,data_quality
0,0,0.3612,0.1509,14,0,15.77,321.98,0.87,0.82,-0.0982,0.0065,data_quality
0,0,0.001,0.0029,0,1,25.32,265.17,0.24,1.0,0.0158,0.0378,dependency_failure
0,0,0.1001,0.1713,7,0,29.93,240.56,1.07,0.82,0.0211,0.0133,data_quality
0,0,0.0,0.0034,0,0,97.9,3267.85,0.89,1.0,-0.0668,3.7078,resource_constraint
0,0,0.2298,0.2047,4,0,41.83,299.43,0.98,0.69,0.0096,0.0139,data_quality
0,0,0.3295,0.1827,5,0,41.4,256.06,0.83,0.6,-0.0147,0.002,data_quality
1,1,0.0,0.0049,2,0,32.89,271.39,1.19,1.0,0.0114,-0.0097,schema_change
0,0,0.0,0.0025,0,1,45.7,221.5,0.17,1.0,0.0311,0.0207,dependency_failure
0,0,0.0011,0.0,0,0,40.42,254.93,0.9,1.0,-0.0448,-0.0286,unknown
0,0,0.0,0.002,0,0,54.22,375.39,0.97,0.0,-0.0083,0.0554,unknown
0,0,0.0,0.001,0,0,63.59,229.76,0.96,0.0,-0.044,-0.0283,unknown
0,0,0.0039,0.0,0,1,51.72,281.81,0.27,1.0,-0.0157,0.0461,dependency_failure
0,0,0.0016,0.002,0,1,40.63,263.26,0.12,1.0,-0.0241,0.0346,dependency_failure
0,0,0.0,0.0008,0,0,28.22,259.63,3.4,1.0,-0.5638,4.7207,timeout
0,0,0.1574,0.0649,2,0,44.62,262.69,1.0,0.84,-0.0416,0.0548,data_quality
0,0,0.0022,0.0017,0,0,36.99,176.76,3.88,1.0,-0.5354,3.2176,timeout
0,0,0.0007,0.0009,0,0,50.3,216.97,3.22,1.0,-0.4953,2.8534,timeout
0,0,0.0,0.0026,0,0,48.2,267.65,0.92,0.0,0.0408,0.0395,unknown
0,0,0.0018,0.0,0,0,42.55,210.46,0.91,1.0,-0.0646,-0.0666,unknown
0,0,0.002,0.0014,0,0,86.25,3574.12,1.0,1.0,0.0336,2.7081,resource_constraint
0,0,0.0019,0.0,0,0,96.36,2971.47,0.92,1.0,0.0079,1.5553,resource_constraint
0,0,0.002,0.0007,0,0,91.48,3437.71,0.93,1.0,-0.0233,2.0087,resource_constraint
0,0,0.0,0.0015,0,0,37.1,249.09,2.1,1.0,-0.6136,3.9779,timeout
0,0,0.0034,0.0,0,1,42.54,310.16,0.27,1.0,-0.0023,0.0245,dependency_failure
0,0,0.0037,0.0,0,0,17.3,162.7,2.97,1.0,-0.5281,2.34,timeout
0,0,0.0035,0.0017,0,1,30.82,213.56,0.14,1.0,-0.0642,-0.0052,dependency_failure
0,0,0.0024,0.002,0,0,32.98,242.64,4.05,1.0,-0.7092,4.2713,timeout
0,0,0.3061,0.1831,9,0,36.23,242.26,0.99,0.6,-0.0532,-0.0883,data_quality
0,0,0.0016,0.0048,0,0,87.15,2297.02,0.93,1.0,-0.0537,3.6578,resource_constraint
0,0,0.3764,0.1403,11,0,28.17,253.41,1.12,0.64,0.1139,0.0329,data_quality
0,0,0.0,0.003,0,0,43.27,242.44,3.56,1.0,-0.443,4.8823,timeout
0,0,0.0014,0.0,0,1,22.2,262.61,0.23,1.0,-0.0566,0.0437,dependency_failure
0,0,0.0005,0.0017,0,0,97.28,3593.7,1.02,1.0,0.0239,3.7748,resource_constraint
0,0,0.0019,0.0012,0,0,34.58,236.86,2.64,1.0,-0.7357,4.4578,timeout
0,0,0.0064,0.0038,0,0,52.57,208.65,0.8,0.0,-0.017,0.0147,unknown
0,0,0.0,0.0021,0,0,50.93,206.12,2.48,1.0,-0.5901,4.5288,timeout
1,3,0.0013,0.0,3,0,37.64,355.32,0.82,1.0,-0.0258,-0.0338,schema_change
1,1,0.0,0.0023,1,0,32.77,291.11,0.92,1.0,-0.0235,0.0575,schema_change
0,0,0.0013,0.0,0,0,32.55,231.46,1.04,0.0,-0.083,-0.0377,unknown
1,2,0.003,0.0,3,0,20.58,271.66,1.08,1.0,-0.0288,-0.1296,schema_change
0,0,0.3598,0.071,3,0,25.45,198.89,1.1,0.73,-0.0264,-0.022,data_quality
0,0,0.0007,0.0012,0,0,92.38,2841.16,0.9,1.0,-0.0869,2.9856,resource_constraint
1,1,0.0034,0.0011,2,0,38.35,179.31,0.85,1.0,-0.0419,-0.0222,schema_change
0,0,0.2634,0.0652,3,0,28.82,304.53,1.06,0.63,0.0382,-0.0017,data_quality
0,0,0.0,0.0,0,0,37.03,248.85,3.98,1.0,-0.4586,3.9006,timeout
0,0,0.0943,0.1296,2,0,36.35,194.94,0.89,0.88,0.0,-0.0218,data_quality
0,0,0.2486,0.1067,3,0,39.74,266.39,1.04,0.98,0.0041,-0.0019,data_quality
0,0,0.0009,0.0021,0,1,22.78,228.08,0.14,1.0,-0.0381,0.0548,dependency_failure
0,0,0.0051,0.0014,0,1,40.13,282.31,0.14,1.0,0.0001,0.0251,dependency_failure
0,0,0.2519,0.0474,10,0,33.81,237.12,0.95,0.52,-0.0208,0.056,data_quality
1,3,0.0013,0.0002,4,0,35.83,228.62,0.8,1.0,-0.014,0.0179,schema_change
1,3,0.0001,0.0015,4,0,23.42,193.7,0.93,1.0,-0.0107,0.0155,schema_change
0,0,0.0,0.0018,0,0,87.42,3457.58,1.07,1.0,-0.0794,2.6889,resource_constraint
0,0,0.1584,0.0936,12,0,55.02,249.71,1.02,0.92,-0.0148,0.0794,data_quality
1,2,0.0012,0.0,2,0,42.7,218.71,0.89,1.0,0.0443,0.0395,schema_change
0,0,0.0013,0.0025,0,0,47.47,242.08,0.96,0.0,-0.0382,0.0618,unknown
0,0,0.0054,0.0002,0,0,85.0,3170.77,0.86,1.0,-0.0275,2.8886,resource_constraint
0,0,0.0006,0.0011,0,0,67.2,239.07,0.96,1.0,-0.0094,-0.0047,unknown
0,0,0.3499,0.2371,3,0,29.99,252.21,1.06,0.67,0.0229,0.087,data_quality
0,0,0.0001,0.0028,0,0,91.41,3368.66,1.12,1.0,0.0414,2.6456,resource_constraint
0,0,0.0,0.0008,0,0,85.0,2973.97,1.09,1.0,-0.1022,2.3399,resource_constraint
0,0,0.0002,0.0,0,0,45.65,261.36,1.06,1.0,-0.0412,0.0415,unknown
0,0,0.0029,0.0,0,0,89.22,3110.3,1.16,1.0,-0.0639,3.7288,resource_constraint
0,0,0.0019,0.0,0,0,93.15,3352.49,1.06,1.0,0.0646,3.2776,resource_constraint
0,0,0.0006,0.002,0,1,31.93,228.78,0.15,1.0,-0.0164,-0.0881,dependency_failure
0,0,0.0028,0.0004,0,0,89.14,3421.41,1.22,1.0,-0.006,3.3079,resource_constraint
0,0,0.0022,0.0,0,0,29.78,257.18,3.56,1.0,-0.4827,2.5851,timeout
0,0,0.0052,0.0,0,0,28.86,279.89,3.04,1.0,-0.6675,2.9154,timeout
0,0,0.0,0.0,0,0,89.1,3135.22,0.97,1.0,-0.0137,2.7667,resource_constraint
0,0,0.0025,0.0,0,1,39.5,223.53,0.18,1.0,-0.0626,0.0015,dependency_failure
0,0,0.0,0.0027,0,0,35.44,276.02,2.16,1.0,-0.7907,3.7973,timeout
0,0,0.0006,0.0002,0,0,92.73,3745.64,1.16,1.0,-0.0509,2.8015,resource_constraint
0,0,0.3304,0.159,11,0,37.52,279.57,0.94,0.6,-0.0296,0.0685,data_quality
0,0,0.0,0.0019,0,0,33.99,324.1,3.2,1.0,-0.4698,2.7418,timeout
0,0,0.0,0.004,0,0,50.36,254.4,0.81,0.0,0.1048,0.0131,unknown
0,0,0.0,0.0024,0,0,35.26,295.49,4.18,1.0,-0.5488,4.7607,timeout
0,0,0.0003,0.0,0,1,35.29,289.23,0.11,1.0,0.0096,0.0902,dependency_failure
0,0,0.2313,0.0692,10,0,26.03,169.25,1.16,0.64,0.084,0.028,data_quality
0,0,0.0001,0.0016,0,0,32.19,311.28,3.06,1.0,-0.4132,2.85,timeout
0,0,0.0029,0.0015,0,0,42.66,267.42,3.05,1.0,-0.5441,4.6786,timeout
0,0,0.0017,0.0,0,1,22.77,256.67,0.22,1.0,0.016,0.0377,dependency_failure
0,0,0.0875,0.1369,1,0,17.58,222.02,1.02,0.87,0.0051,0.0075,data_quality
0,0,0.2222,0.2004,13,0,23.92,257.35,0.96,0.79,0.0428,0.0076,data_quality
0,0,0.0,0.0,0,0,88.14,3087.3,0.86,1.0,-0.0228,1.6149,resource_constraint
0,0,0.0,0.0024,0,1,35.4,293.84,0.15,1.0,0.0227,0.0115,dependency_failure
0,0,0.0,0.0007,0,0,25.02,244.7,3.08,1.0,-0.7482,4.9117,timeout
0,0,0.0027,0.0024,0,0,43.57,244.7,2.91,1.0,-0.7608,3.8436,timeout
0,0,0.1605,0.1629,11,0,27.24,246.77,1.09,0.61,0.0181,0.0213,data_quality
0,0,0.0017,0.0,0,1,26.68,302.01,0.15,1.0,0.0174,-0.1161,dependency_failure
0,0,0.0018,0.0001,0,0,70.77,261.65,0.93,1.0,-0.0461,-0.0697,unknown
0,0,0.0,0.0,0,1,43.92,226.68,0.17,1.0,-0.0126,0.0194,dependency_failure
1,3,0.0007,0.0031,4,0,51.27,197.45,0.89,1.0,-0.0084,0.0055,schema_change
0,0,0.003,0.0,0,0,80.0,294.78,1.04,1.0,-0.0501,0.0017,unknown
0,0,0.0007,0.0,0,1,26.93,205.72,0.28,1.0,0.014,-0.0009,dependency_failure
0,0,0.0,0.0,0,0,40.13,260.34,1.09,0.0,0.0155,0.0876,unknown
1,1,0.0002,0.0017,2,0,42.05,234.79,0.81,1.0,-0.0075,0.0676,schema_change
0,0,0.0025,0.0029,0,1,40.85,193.3,0.1,1.0,0.0034,-0.0543,dependency_failure
0,0,0.0,0.0018,0,0,86.83,3374.55,0.99,1.0,0.0433,3.7469,resource_constraint
0,0,0.0024,0.0018,0,0,53.5,258.0,0.88,0.0,0.0532,-0.0447,unknown
1,1,0.0016,0.0,1,0,39.77,260.84,1.03,1.0,0.0904,0.0175,schema_change
0,0,0.0008,0.0,0,0,39.5,290.99,3.45,1.0,-0.5664,3.1475,timeout
0,0,0.0009,0.0037,0,1,48.18,340.03,0.23,1.0,-0.0198,-0.0206,dependency_failure
0,0,0.0025,0.0012,0,1,33.95,290.78,0.24,1.0,0.0263,-0.1165,dependency_failure
0,0,0.0,0.0,0,0,35.34,214.05,2.1,1.0,-0.4071,4.9285,timeout
0,0,0.0,0.0012,0,0,92.73,3292.69,1.12,1.0,-0.0644,2.5246,resource_constraint
0,0,0.0006,0.0015,0,0,88.21,3520.88,1.1,1.0,-0.0104,1.5029,resource_constraint
0,0,0.0006,0.0,0,1,24.56,212.92,0.28,1.0,0.0163,0.0456,dependency_failure
0,0,0.0068,0.0022,0,0,49.69,201.47,0.87,0.0,0.0452,-0.0397,unknown
0,0,0.0003,0.0018,0,0,85.5,3334.5,1.08,1.0,0.0081,1.8081,resource_constraint
0,0,0.0021,0.0046,0,0,80.0,221.31,1.0,0.0,0.0689,-0.0219,unknown
0,0,0.0,0.0002,0,0,42.94,261.73,0.92,1.0,0.0006,-0.0214,unknown
0,0,0.3193,0.235,12,0,33.65,242.68,0.89,0.95,-0.0741,-0.0044,data_quality
0,0,0.0035,0.0005,0,0,93.71,3022.97,0.93,1.0,0.0062,2.0454,resource_constraint
0,0,0.0,0.0008,0,0,42.65,232.6,0.88,1.0,0.0003,0.2074,unknown
0,0,0.0,0.0005,0,1,28.21,213.01,0.14,1.0,0.0322,-0.0119,dependency_failure
1,2,0.0018,0.0026,2,0,29.8,280.88,1.11,1.0,0.0967,0.0035,schema_change
0,0,0.0027,0.0029,0,0,49.9,293.2,3.08,1.0,-0.5067,2.6576,timeout
0,0,0.3514,0.1616,10,0,34.1,282.07,0.91,0.51,0.0118,-0.0784,data_quality
0,0,0.0753,0.2221,8,0,43.71,187.23,0.98,0.65,-0.073,0.0468,data_quality
0,0,0.0027,0.001,0,1,50.31,270.7,0.15,1.0,-0.0514,-0.0494,dependency_failure
1,1,0.0024,0.0044,2,0,48.44,279.4,0.94,1.0,-0.065,-0.07,schema_change
0,0,0.0,0.0025,0,0,93.63,3095.86,1.02,1.0,-0.0561,1.9858,resource_constraint
0,0,0.0014,0.0,0,0,47.43,251.25,3.4,1.0,-0.604,4.0391,timeout
0,0,0.0013,0.0014,0,1,42.79,293.04,0.13,1.0,0.0116,0.0739,dependency_failure
0,0,0.35,0.1155,10,0,29.1,249.05,0.79,0.54,-0.0725,-0.0158,data_quality
1,1,0.0,0.0,2,0,51.0,201.99,1.12,1.0,0.0075,0.007,schema_change
0,0,0.2915,0.1091,7,0,32.98,276.88,0.96,0.67,0.0055,0.0221,data_quality
0,0,0.0,0.0022,0,0,65.53,211.14,1.25,1.0,-0.0175,-0.001,unknown
0,0,0.0,0.0023,0,0,86.3,3906.03,0.99,1.0,0.0158,2.3688,resource_constraint
1,3,0.0,0.0,3,0,37.14,295.28,1.22,1.0,-0.0103,0.0429,schema_change
0,0,0.1954,0.0255,9,0,36.27,235.31,1.1,0.67,-0.0602,0.0574,data_quality
1,2,0.0032,0.0,3,0,38.46,297.48,0.9,1.0,0.0743,0.0819,schema_change
0,0,0.0504,0.0825,7,0,40.62,284.95,0.95,0.61,0.0652,0.0919,data_quality
0,0,0.0008,0.0024,0,0,37.32,297.89,0.95,1.0,0.0352,0.0498,unknown
0,0,0.0,0.0014,0,0,22.74,318.05,3.9,1.0,-0.4609,3.3541,timeout
1,1,0.0,0.0009,2,0,27.62,296.95,0.91,1.0,0.0182,-0.0302,schema_change
0,0,0.3269,0.1583,4,0,40.54,273.3,0.92,0.67,-0.0954,-0.0197,data_quality
0,0,0.2074,0.0634,5,0,36.83,250.89,1.28,0.75,0.005,0.0578,data_quality
1,1,0.0,0.002,2,0,28.47,257.66,1.01,1.0,-0.0528,0.0529,schema_change
0,0,0.3897,0.1486,10,0,34.01,241.54,1.07,0.67,0.0163,0.1138,data_quality
0,0,0.0051,0.0004,0,0,53.47,262.6,1.0,0.0,-0.0019,-0.0072,unknown
0,0,0.0,0.0,0,1,28.81,211.75,0.14,1.0,-0.0098,0.0254,dependency_failure
0,0,0.001,0.0026,0,0,25.29,313.24,3.26,1.0,-0.6572,3.4792,timeout
1,1,0.0021,0.0,1,0,39.84,285.29,0.95,1.0,-0.0235,0.0133,schema_change
0,0,0.0942,0.2071,7,0,33.1,251.84,0.91,0.96,0.0586,0.0333,data_quality
0,0,0.0,0.0015,0,0,62.24,249.89,0.95,1.0,-0.029,-0.0539,unknown
0,0,0.0,0.0,0,0,38.54,205.72,4.65,1.0,-0.7346,2.7365,timeout
0,0,0.0038,0.0002,0,1,30.29,286.91,0.17,1.0,0.0215,-0.0788,dependency_failure
0,0,0.0,0.0,0,0,96.74,2779.19,0.96,1.0,-0.0633,1.9768,resource_constraint
0,0,0.0,0.0019,0,0,33.99,274.69,2.87,1.0,-0.4955,3.5551,timeout
1,1,0.0025,0.0025,1,0,35.09,285.28,0.83,1.0,-0.0374,-0.1069,schema_change
0,0,0.0038,0.0043,0,0,56.51,224.88,1.0,0.0,-0.0271,0.0607,unknown
0,0,0.0044,0.0015,0,0,93.76,3528.01,0.99,1.0,-0.0416,2.8924,resource_constraint
0,0,0.2325,0.2262,8,0,29.57,237.55,1.02,0.6,-0.0517,-0.0445,data_quality
0,0,0.0,0.0031,0,0,89.94,3279.68,1.18,1.0,-0.0604,3.9264,resource_constraint
0,0,0.0,0.0016,0,1,26.14,249.35,0.16,1.0,0.1007,-0.0013,dependency_failure
0,0,0.0,0.0002,0,0,80.0,305.6,0.96,1.0,0.0209,0.0584,unknown
1,2,0.0012,0.0014,3,0,39.86,189.23,1.0,1.0,-0.0329,-0.0845,schema_change
1,1,0.002,0.0023,1,0,38.53,215.4,0.96,1.0,-0.0731,0.0246,schema_change
0,0,0.0,0.0,0,0,58.98,245.81,1.03,0.0,-0.0388,0.0373,unknown
0,0,0.002,0.0011,0,0,52.28,245.22,0.94,0.0,-0.0482,-0.1193,unknown
0,0,0.0001,0.0011,0,0,28.28,206.24,2.98,1.0,-0.4087,2.8185,timeout
0,0,0.0,0.0014,0,0,87.5,3043.12,0.95,1.0,-0.0539,3.6408,resource_constraint
0,0,0.0,0.0,0,1,34.55,199.99,0.21,1.0,-0.0391,-0.0127,dependency_failure
0,0,0.0002,0.0008,0,1,28.17,202.96,0.14,1.0,0.0355,0.0786,dependency_failure
0,0,0.0,0.0,0,0,95.97,3335.23,1.07,1.0,-0.0001,3.8412,resource_constraint
0,0,0.0014,0.0,0,0,20.0,264.07,0.99,1.0,0.0314,0.0,unknown
0,0,0.0006,0.0,0,1,40.43,277.84,0.11,1.0,0.0219,-0.0037,dependency_failure
0,0,0.0014,0.0,0,0,88.69,2872.4,1.08,1.0,0.0263,3.6251,resource_constraint
0,0,0.2057,0.1325,1,0,32.52,248.93,0.91,0.68,-0.0547,0.0439,data_quality
0,0,0.2698,0.234,6,0,39.02,321.85,1.07,0.84,-0.0121,-0.0513,data_quality
1,2,0.0014,0.0036,2,0,38.4,338.75,0.84,1.0,-0.0109,-0.0542,schema_change
0,0,0.0031,0.0027,0,0,38.03,256.81,4.21,1.0,-0.7983,3.5303,timeout
0,0,0.103,0.0549,7,0,21.46,272.39,1.02,0.66,0.0502,-0.035,data_quality
0,0,0.0004,0.0032,0,1,32.53,261.77,0.3,1.0,0.0651,-0.0233,dependency_failure
0,0,0.0033,0.002,0,0,94.95,3440.15,1.06,1.0,0.0389,3.1843,resource_constraint
1,2,0.0026,0.0,2,0,37.69,231.06,1.06,1.0,-0.0583,-0.0036,schema_change
0,0,0.0,0.0025,0,0,80.0,251.06,0.88,1.0,0.0022,0.0629,unknown
0,0,0.0006,0.0002,0,0,30.05,223.94,3.26,1.0,-0.6668,4.3797,timeout
0,0,0.0,0.0,0,0,57.79,313.08,0.99,1.0,0.0291,-0.0192,unknown
0,0,0.0019,0.0038,0,0,94.92,2971.62,1.08,1.0,0.1275,3.4213,resource_constraint
0,0,0.318,0.041,11,0,26.28,210.08,1.0,0.76,-0.0876,-0.0384,data_quality
0,0,0.0017,0.0011,0,1,45.33,229.51,0.14,1.0,0.0104,0.0264,dependency_failure
0,0,0.3337,0.0827,2,0,24.02,262.92,0.99,0.87,0.025,-0.0267,data_quality
0,0,0.0039,0.0033,0,0,47.16,160.53,1.25,1.0,-0.001,-0.0156,unknown
0,0,0.0018,0.0027,0,0,97.13,3288.81,1.03,1.0,0.0225,3.6296,resource_constraint
0,0,0.0014,0.0031,0,1,41.34,269.65,0.17,1.0,-0.011,-0.0762,dependency_failure
0,0,0.0026,0.0019,0,0,29.9,229.61,2.55,1.0,-0.4184,4.0042,timeout
0,0,0.2988,0.2439,13,0,41.61,253.44,0.94,0.9,-0.0266,0.0193,data_quality
0,0,0.0,0.0,0,1,28.71,283.94,0.22,1.0,-0.0253,0.0085,dependency_failure
0,0,0.0001,0.0055,0,1,43.04,314.5,0.23,1.0,-0.0635,0.0669,dependency_failure
0,0,0.0,0.0033,0,0,92.81,2951.97,1.02,1.0,-0.0047,2.2026,resource_constraint
0,0,0.0009,0.0027,0,0,87.13,3150.75,1.0,1.0,-0.0152,1.8803,resource_constraint
0,0,0.0,0.0042,0,0,36.51,255.6,3.25,1.0,-0.6638,4.5915,timeout
0,0,0.0012,0.0,0,1,30.09,165.38,0.21,1.0,0.021,-0.0504,dependency_failure
0,0,0.0018,0.0001,0,0,44.86,259.12,2.95,1.0,-0.4434,4.7085,timeout
1,3,0.0016,0.0006,3,0,39.42,248.65,0.9,1.0,-0.0435,-0.0492,schema_change
1,1,0.0011,0.0027,2,0,38.88,216.15,0.94,1.0,0.0515,-0.0167,schema_change
0,0,0.0,0.0018,0,0,52.58,222.45,1.2,0.0,0.0258,0.0645,unknown
0,0,0.318,0.0212,2,0,39.69,234.15,0.95,0.5,0.0447,0.0451,data_quality
0,0,0.0,0.0,0,0,78.97,231.4,1.15,0.0,-0.0225,0.0126,unknown
0,0,0.0,0.0028,0,1,35.97,325.22,0.12,1.0,0.0166,-0.0398,dependency_failure
0,0,0.3318,0.0515,5,0,30.82,270.28,0.99,0.53,-0.0413,-0.038,data_quality
0,0,0.0007,0.0008,0,0,90.16,2626.36,1.03,1.0,0.0289,2.1785,resource_constraint
0,0,0.0025,0.0,0,0,68.99,273.07,0.89,1.0,-0.02,-0.0234,unknown
0,0,0.0026,0.0018,0,1,34.76,231.5,0.15,1.0,-0.0224,-0.0282,dependency_failure
0,0,0.0015,0.0032,0,1,41.89,241.38,0.29,1.0,0.0093,-0.073,dependency_failure
0,0,0.0017,0.0007,0,0,58.37,242.57,0.97,0.0,-0.0731,-0.0003,unknown
0,0,0.0034,0.0009,0,1,49.81,179.26,0.2,1.0,0.0125,-0.0188,dependency_failure
0,0,0.0,0.0,0,0,50.35,266.01,0.97,1.0,0.0008,-0.1039,unknown
0,0,0.0,0.001,0,0,69.27,361.33,1.1,0.0,0.0025,-0.0056,unknown
0,0,0.0779,0.1826,14,0,29.23,181.32,1.0,0.83,-0.1452,0.0296,data_quality
1,3,0.0042,0.0016,3,0,22.1,269.98,0.97,1.0,0.0169,-0.0125,schema_change
0,0,0.3603,0.1145,1,0,36.8,209.31,1.1,0.8,0.0181,-0.0568,data_quality
1,1,0.0024,0.0018,1,0,19.58,238.84,1.08,1.0,-0.0024,-0.0703,schema_change
0,0,0.0,0.0006,0,0,85.85,3177.9,1.04,1.0,-0.0214,2.8954,resource_constraint
0,0,0.0,0.0,0,0,28.88,221.59,0.94,1.0,0.0077,-0.0767,unknown
0,0,0.0016,0.0,0,0,89.55,3423.26,0.94,1.0,0.0294,2.4319,resource_constraint
0,0,0.0,0.0,0,0,91.21,2643.19,1.09,1.0,-0.0944,3.9662,resource_constraint
1,3,0.0006,0.0042,3,0,33.35,248.21,0.88,1.0,0.097,-0.0701,schema_change
0,0,0.3359,0.2407,4,0,41.41,311.97,1.08,0.9,-0.0118,0.0171,data_quality
1,3,0.0,0.0004,3,0,21.72,319.11,0.85,1.0,-0.0323,-0.0202,schema_change
1,3,0.0,0.0026,4,0,36.16,321.81,0.99,1.0,0.0283,0.0416,schema_change
0,0,0.2917,0.1517,1,0,46.06,332.31,1.08,0.7,0.0297,-0.056,data_quality
1,1,0.0007,0.0,1,0,32.53,220.5,1.05,1.0,-0.052,-0.0676,schema_change
0,0,0.0004,0.0035,0,1,35.72,222.11,0.16,1.0,0.0655,0.0117,dependency_failure
0,0,0.0,0.0,0,0,62.04,258.78,1.04,0.0,-0.0941,0.0597,unknown
0,0,0.0015,0.0,0,0,47.18,197.97,1.15,0.0,-0.0028,-0.0212,unknown
0,0,0.2004,0.1475,13,0,32.55,198.36,1.19,0.66,0.0266,-0.0767,data_quality
1,1,0.0001,0.0,2,0,22.33,280.42,1.08,1.0,0.0213,-0.0483,schema_change
0,0,0.3644,0.154,6,0,37.49,174.41,1.2,0.56,0.0645,-0.0199,data_quality
0,0,0.0019,0.0,0,1,20.63,300.89,0.17,1.0,0.0146,-0.0287,dependency_failure
1,2,0.0047,0.0022,3,0,28.59,263.23,0.97,1.0,0.0121,-0.0357,schema_change
0,0,0.0005,0.0,0,0,60.49,329.5,1.07,0.0,0.0429,0.0125,unknown
0,0,0.0019,0.0004,0,1,27.79,232.93,0.24,1.0,-0.0159,0.0009,dependency_failure
0,0,0.0,0.0,0,0,25.34,254.18,3.08,1.0,-0.6111,4.6145,timeout
0,0,0.217,0.212,3,0,40.47,247.87,0.9,0.88,-0.0198,-0.1536,data_quality
0,0,0.0,0.0016,0,0,38.26,222.83,0.78,1.0,0.0739,-0.0143,unknown
0,0,0.2313,0.192,1,0,25.33,239.94,1.03,0.92,0.0919,-0.0584,data_quality
0,0,0.0036,0.0022,0,1,36.56,267.26,0.22,1.0,0.0578,-0.0328,dependency_failure
